algo_name,frames,faults,hits,evictions,hit_rate,fault_rate
WorkingSet,12,646,154,634,0.192500,0.807500
WorkingSet,21,519,281,498,0.351250,0.648750
WorkingSet,30,392,408,362,0.510000,0.490000
WorkingSet,39,268,532,229,0.665000,0.335000
WorkingSet,48,172,628,124,0.785000,0.215000
WSClock,12,632,168,620,0.210000,0.790000
WSClock,21,508,292,487,0.365000,0.635000
WSClock,30,380,420,350,0.525000,0.475000
WSClock,39,283,517,244,0.646250,0.353750
WSClock,48,176,624,128,0.780000,0.220000
LRU,12,646,154,634,0.192500,0.807500
LRU,21,519,281,498,0.351250,0.648750
LRU,30,392,408,362,0.510000,0.490000
LRU,39,268,532,229,0.665000,0.335000
LRU,48,172,628,124,0.785000,0.215000
Ótimo,12,400,400,388,0.500000,0.500000
Ótimo,21,275,525,254,0.656250,0.343750
Ótimo,30,191,609,161,0.761250,0.238750
Ótimo,39,131,669,92,0.836250,0.163750
Ótimo,48,92,708,44,0.885000,0.115000
