t,page_requested,hit_fault,expulsed_page,frames
0,2,fault,-,"[2, -, -, -, -]"
1,3,fault,-,"[2, 3, -, -, -]"
2,2,hit,-,"[2, 3, -, -, -]"
3,3,hit,-,"[2, 3, -, -, -]"
4,3,hit,-,"[2, 3, -, -, -]"
5,2,hit,-,"[2, 3, -, -, -]"
6,5,fault,-,"[2, 3, 5, -, -]"
7,5,hit,-,"[2, 3, 5, -, -]"
8,3,hit,-,"[2, 3, 5, -, -]"
9,2,hit,-,"[2, 3, 5, -, -]"
10,4,fault,-,"[2, 3, 5, 4, -]"
11,9,fault,-,"[2, 3, 5, 4, 9]"
12,9,hit,-,"[2, 3, 5, 4, 9]"
13,6,fault,2,"[6, 3, 5, 4, 9]"
14,9,hit,-,"[6, 3, 5, 4, 9]"
15,9,hit,-,"[6, 3, 5, 4, 9]"
16,4,hit,-,"[6, 3, 5, 4, 9]"
17,8,fault,3,"[6, 8, 5, 4, 9]"
18,9,hit,-,"[6, 8, 5, 4, 9]"
19,9,hit,-,"[6, 8, 5, 4, 9]"
20,6,hit,-,"[6, 8, 5, 4, 9]"
21,7,fault,5,"[6, 8, 7, 4, 9]"
22,7,hit,-,"[6, 8, 7, 4, 9]"
23,3,fault,4,"[6, 8, 7, 3, 9]"
24,3,hit,-,"[6, 8, 7, 3, 9]"
25,10,fault,9,"[6, 8, 7, 3, 10]"
26,7,hit,-,"[6, 8, 7, 3, 10]"
27,4,fault,6,"[4, 8, 7, 3, 10]"
28,7,hit,-,"[4, 8, 7, 3, 10]"
29,6,fault,8,"[4, 6, 7, 3, 10]"
30,1,fault,7,"[4, 6, 1, 3, 10]"
31,1,hit,-,"[4, 6, 1, 3, 10]"
32,8,fault,3,"[4, 6, 1, 8, 10]"
33,5,fault,10,"[4, 6, 1, 8, 5]"
34,9,fault,4,"[9, 6, 1, 8, 5]"
35,1,hit,-,"[9, 6, 1, 8, 5]"
36,9,hit,-,"[9, 6, 1, 8, 5]"
37,1,hit,-,"[9, 6, 1, 8, 5]"
38,5,hit,-,"[9, 6, 1, 8, 5]"
39,9,hit,-,"[9, 6, 1, 8, 5]"
