t,page_requested,hit_fault,expulsed_page,frames
0,2,fault,-,"[2, -, -, -, -]"
1,3,fault,-,"[2, 3, -, -, -]"
2,2,hit,-,"[2, 3, -, -, -]"
3,3,hit,-,"[2, 3, -, -, -]"
4,3,hit,-,"[2, 3, -, -, -]"
5,2,hit,-,"[2, 3, -, -, -]"
6,5,fault,-,"[2, 3, 5, -, -]"
7,5,hit,-,"[2, 3, 5, -, -]"
8,3,hit,-,"[2, 3, 5, -, -]"
9,2,hit,-,"[2, 3, 5, -, -]"
10,4,fault,-,"[2, 3, 5, 4, -]"
11,9,fault,-,"[2, 3, 5, 4, 9]"
12,9,hit,-,"[2, 3, 5, 4, 9]"
13,6,fault,5,"[2, 3, 6, 4, 9]"
14,9,hit,-,"[2, 3, 6, 4, 9]"
15,9,hit,-,"[2, 3, 6, 4, 9]"
16,4,hit,-,"[2, 3, 6, 4, 9]"
17,8,fault,3,"[2, 8, 6, 4, 9]"
18,9,hit,-,"[2, 8, 6, 4, 9]"
19,9,hit,-,"[2, 8, 6, 4, 9]"
20,6,hit,-,"[2, 8, 6, 4, 9]"
21,7,fault,2,"[7, 8, 6, 4, 9]"
22,7,hit,-,"[7, 8, 6, 4, 9]"
23,3,fault,4,"[7, 8, 6, 3, 9]"
24,3,hit,-,"[7, 8, 6, 3, 9]"
25,10,fault,8,"[7, 10, 6, 3, 9]"
26,7,hit,-,"[7, 10, 6, 3, 9]"
27,4,fault,9,"[7, 10, 6, 3, 4]"
28,7,hit,-,"[7, 10, 6, 3, 4]"
29,6,hit,-,"[7, 10, 6, 3, 4]"
30,1,fault,3,"[7, 10, 6, 1, 4]"
31,1,hit,-,"[7, 10, 6, 1, 4]"
32,8,fault,10,"[7, 8, 6, 1, 4]"
33,5,fault,4,"[7, 8, 6, 1, 5]"
34,9,fault,7,"[9, 8, 6, 1, 5]"
35,1,hit,-,"[9, 8, 6, 1, 5]"
36,9,hit,-,"[9, 8, 6, 1, 5]"
37,1,hit,-,"[9, 8, 6, 1, 5]"
38,5,hit,-,"[9, 8, 6, 1, 5]"
39,9,hit,-,"[9, 8, 6, 1, 5]"
