t,page_requested,hit_fault,expulsed_page,frames
0,2,fault,-,"[2, -, -]"
1,3,fault,-,"[2, 3, -]"
2,2,hit,-,"[2, 3, -]"
3,3,hit,-,"[2, 3, -]"
4,3,hit,-,"[2, 3, -]"
5,2,hit,-,"[2, 3, -]"
6,5,fault,-,"[2, 3, 5]"
7,5,hit,-,"[2, 3, 5]"
8,3,hit,-,"[2, 3, 5]"
9,2,hit,-,"[2, 3, 5]"
10,4,fault,2,"[4, 3, 5]"
11,9,fault,3,"[4, 9, 5]"
12,9,hit,-,"[4, 9, 5]"
13,6,fault,5,"[4, 9, 6]"
14,9,hit,-,"[4, 9, 6]"
15,9,hit,-,"[4, 9, 6]"
16,4,hit,-,"[4, 9, 6]"
17,8,fault,4,"[8, 9, 6]"
18,9,hit,-,"[8, 9, 6]"
19,9,hit,-,"[8, 9, 6]"
20,6,hit,-,"[8, 9, 6]"
21,7,fault,9,"[8, 7, 6]"
22,7,hit,-,"[8, 7, 6]"
23,3,fault,8,"[3, 7, 6]"
24,3,hit,-,"[3, 7, 6]"
25,10,fault,6,"[3, 7, 10]"
26,7,hit,-,"[3, 7, 10]"
27,4,fault,3,"[4, 7, 10]"
28,7,hit,-,"[4, 7, 10]"
29,6,fault,7,"[4, 6, 10]"
30,1,fault,10,"[4, 6, 1]"
31,1,hit,-,"[4, 6, 1]"
32,8,fault,4,"[8, 6, 1]"
33,5,fault,6,"[8, 5, 1]"
34,9,fault,1,"[8, 5, 9]"
35,1,fault,8,"[1, 5, 9]"
36,9,hit,-,"[1, 5, 9]"
37,1,hit,-,"[1, 5, 9]"
38,5,hit,-,"[1, 5, 9]"
39,9,hit,-,"[1, 5, 9]"
