algo_name,frames,faults,hits,evictions,hit_rate,fault_rate
NFU,12,525,275,513,0.343750,0.656250
NFU,21,378,422,357,0.527500,0.472500
NFU,30,269,531,239,0.663750,0.336250
NFU,39,169,631,130,0.788750,0.211250
NFU,48,85,715,37,0.893750,0.106250
Envelhecimento,12,215,585,203,0.731250,0.268750
Envelhecimento,21,146,654,125,0.817500,0.182500
Envelhecimento,30,113,687,83,0.858750,0.141250
Envelhecimento,39,86,714,47,0.892500,0.107500
Envelhecimento,48,62,738,14,0.922500,0.077500
Ótimo,12,131,669,119,0.836250,0.163750
Ótimo,21,90,710,69,0.887500,0.112500
Ótimo,30,72,728,42,0.910000,0.090000
Ótimo,39,59,741,20,0.926250,0.073750
Ótimo,48,56,744,8,0.930000,0.070000
