algo_name,frames,faults,hits,evictions,hit_rate,fault_rate
FIFO,12,641,159,629,0.198750,0.801250
FIFO,21,507,293,486,0.366250,0.633750
FIFO,30,395,405,365,0.506250,0.493750
FIFO,39,287,513,248,0.641250,0.358750
FIFO,48,181,619,133,0.773750,0.226250
SecondChance,12,641,159,629,0.198750,0.801250
SecondChance,21,515,285,494,0.356250,0.643750
SecondChance,30,387,413,357,0.516250,0.483750
SecondChance,39,286,514,247,0.642500,0.357500
SecondChance,48,177,623,129,0.778750,0.221250
Clock,12,641,159,629,0.198750,0.801250
Clock,21,515,285,494,0.356250,0.643750
Clock,30,387,413,357,0.516250,0.483750
Clock,39,286,514,247,0.642500,0.357500
Clock,48,177,623,129,0.778750,0.221250
