algo_name,frames,faults,hits,evictions,hit_rate,fault_rate
NFU,12,622,178,610,0.222500,0.777500
NFU,21,489,311,468,0.388750,0.611250
NFU,30,400,400,370,0.500000,0.500000
NFU,39,286,514,247,0.642500,0.357500
NFU,48,191,609,143,0.761250,0.238750
Envelhecimento,12,641,159,629,0.198750,0.801250
Envelhecimento,21,499,301,478,0.376250,0.623750
Envelhecimento,30,397,403,367,0.503750,0.496250
Envelhecimento,39,290,510,251,0.637500,0.362500
Envelhecimento,48,179,621,131,0.776250,0.223750
Ótimo,12,400,400,388,0.500000,0.500000
Ótimo,21,275,525,254,0.656250,0.343750
Ótimo,30,191,609,161,0.761250,0.238750
Ótimo,39,131,669,92,0.836250,0.163750
Ótimo,48,92,708,44,0.885000,0.115000
