algo_name,frames,faults,hits,evictions,hit_rate,fault_rate
FIFO,12,641,159,629,0.198750,0.801250
FIFO,21,507,293,486,0.366250,0.633750
FIFO,30,395,405,365,0.506250,0.493750
FIFO,39,287,513,248,0.641250,0.358750
FIFO,48,181,619,133,0.773750,0.226250
LRU,12,646,154,634,0.192500,0.807500
LRU,21,519,281,498,0.351250,0.648750
LRU,30,392,408,362,0.510000,0.490000
LRU,39,268,532,229,0.665000,0.335000
LRU,48,172,628,124,0.785000,0.215000
Ótimo,12,400,400,388,0.500000,0.500000
Ótimo,21,275,525,254,0.656250,0.343750
Ótimo,30,191,609,161,0.761250,0.238750
Ótimo,39,131,669,92,0.836250,0.163750
Ótimo,48,92,708,44,0.885000,0.115000
