algo_name,frames,faults,hits,evictions,hit_rate,fault_rate
FIFO,12,214,586,202,0.732500,0.267500
FIFO,21,147,653,126,0.816250,0.183750
FIFO,30,118,682,88,0.852500,0.147500
FIFO,39,86,714,47,0.892500,0.107500
FIFO,48,62,738,14,0.922500,0.077500
SecondChance,12,200,600,188,0.750000,0.250000
SecondChance,21,142,658,121,0.822500,0.177500
SecondChance,30,110,690,80,0.862500,0.137500
SecondChance,39,87,713,48,0.891250,0.108750
SecondChance,48,62,738,14,0.922500,0.077500
Clock,12,200,600,188,0.750000,0.250000
Clock,21,142,658,121,0.822500,0.177500
Clock,30,110,690,80,0.862500,0.137500
Clock,39,87,713,48,0.891250,0.108750
Clock,48,62,738,14,0.922500,0.077500
